family,condition,snr_db,wer_percent,channel,macro_f1,pearson_r,ece,delta_from_clean,manuscript_table
acoustic_channel,Clean,,0,clean,0.8,0.71,0.031,,Table 17
acoustic_channel,Background noise,20,,MUSAN,0.78,0.69,0.035,-0.02,Table 17
acoustic_channel,Background noise,15,,MUSAN,0.74,0.65,0.042,-0.06,Table 17
acoustic_channel,Background noise,10,,MUSAN,0.67,0.58,0.058,-0.13,Table 17
acoustic_channel,Background noise,5,,MUSAN,0.55,0.46,0.079,-0.25,Table 17
acoustic_channel,Mobile channel distortion,15,,AMR-NB 12.2 kbps,0.71,0.62,0.048,-0.09,Table 17
acoustic_channel,VoIP channel distortion,15,,10% packet loss; mean burst length 3 packets,0.69,0.6,0.052,-0.11,Table 17
transcript,Clean transcript,,0,,0.8,0.71,0.031,,Table 18
transcript,Low WER,,10,,0.76,0.67,0.038,-0.04,Table 18
transcript,Medium WER,,20,,0.72,0.63,0.046,-0.08,Table 18
transcript,High WER,,30,,0.66,0.57,0.061,-0.14,Table 18
combined,Typical,15,15,,0.68,0.59,0.055,-0.12,Table 19
combined,Challenging,10,25,,0.58,0.49,0.072,-0.22,Table 19
combined,Extreme,5,35,,0.42,0.35,0.095,-0.38,Table 19
